year,pay,orless,over2,over3,over4,over6,over8,over10,over12,over14,over16,over18,over20,over22,over24,over26,over28,over30,over32,over34,over36,over38,over40,average,bas,grade
1990,O-1,1387.2,1444.2,1745.1,,,,,,,,,,,,,,,,,,,,1525.5,119.61,101
1990,O-2,1597.8,1745.1,2096.4,2166.9,2212.2,,,,,,,,,,,,,,,,,,1963.68,119.61,102
1990,O-3,1832.4,2048.7,2190.3,2423.4,2539.2,2630.4,2772.6,2909.7,2981.4,,,,,,,,,,,,,,2480.9,119.61,103
1990,O-4,1971.9,2401.2,2561.4,2561.4,2608.8,2724,2909.7,3073.2,3213.6,3354.6,3447.3,3447.3,3447.3,3447.3,3447.3,,,,,,,,2974.42,119.61,104
1990,O-5,2339.1,2746.8,2936.7,2936.7,2936.7,2936.7,3025.5,3188.1,3402,3656.7,3866.4,3983.4,4122.6,4122.6,4122.6,,,,,,,,3354.84,119.61,105
1990,O-6,2925,3213.6,3424.2,3424.2,3424.2,3424.2,3424.2,3424.2,3540.3,4100.1,4309.5,4403.4,4658.7,4658.7,5052.6,,,,,,,,3827.14,119.61,106
1990,O-7,3946.2,4214.4,4214.4,4214.4,4403.4,4403.4,4658.7,4658.7,4891.5,5380.8,5751,5751,5751,5751,5751,,,,,,,,4916.06,119.61,107
1990,O-8,4749.3,4891.5,5007.6,5007.6,5007.6,5380.8,5380.8,5635.2,5635.2,5869.8,6124.5,6359.4,6516,6516,6516,,,,,,,,5639.82,119.61,108
1990,O-9,,,,,,,,,,,,6711.9,6711.9,6711.9,7122.6,,,,,,,,6814.58,119.61,109
1990,O-10,,,,,,,,,,,,7125,7125,7125,7558.5,,,,,,,,7233.38,119.61,110
1990,O-1E,,,,1745.1,1864.2,1932.9,2002.8,2072.7,2166.9,,,,,,,,,,,,,,1964.1,119.61,201
1990,O-2E,,,,2166.9,2212.2,2282.1,2401.2,2493,2561.4,,,,,,,,,,,,,,2352.8,119.61,202
1990,O-3E,,,,2423.4,2539.2,2630.4,2772.6,2909.7,3025.5,,,,,,,,,,,,,,2716.8,119.61,203
1990,E-1,724.2,,,,,,,,,,,,,,,,,,,,,,724.2,177.3,301
1990,E-2,811.8,,,,,,,,,,,,,,,,,,,,,,811.8,177.3,302
1990,E-3,843.6,889.8,925.5,962.1,,,,,,,,,,,,,,,,,,,905.25,177.3,303
1990,E-4,895.5,945.6,1001.1,1078.8,1121.4,,,,,,,,,,,,,,,,,,1008.48,177.3,304
1990,E-5,960,1044.9,1095.6,1143.3,1218.3,1268.1,1318.5,1366.8,1391.7,,,,,,,,,,,,,,1200.8,177.3,305
1990,E-6,1094.1,1192.2,1242,1294.8,1343.1,1391.7,1443,1517.4,1564.8,1615.5,1640.1,,,,,,,,,,,,1394.43,177.3,306
1990,E-7,1271.4,1372.5,1423.5,1473.3,1523.4,1572,1622.4,1672.8,1748.7,1798.2,1848.3,1872.3,1998,1998,2446.7,,,,,,,,1709.43,177.3,307
1990,E-8,,,,,,1821.3,1873.2,1922.7,1972.5,2024.7,2071.2,2122.2,2246.7,2246.7,2496.9,,,,,,,,2079.81,177.3,308
1990,E-9,,,,,,,2171.7,2220.6,2271,2322.9,2374.8,2421,2548.2,2548.2,2796,,,,,,,,2408.27,177.3,309
1990,W-1,1238.1,1419.6,1419.6,1538.1,1607.7,1677,1745.1,1817.1,1885.8,1956.3,2023.8,2096.4,,,,,,,,,,,1702.05,119.61,501
1990,W-2,1485.9,1607.7,1607.7,1654.8,1745.1,1840.5,1910.4,1980.3,2048.7,2120.7,2190.3,2259.3,2350.2,,,,,,,,,,1907.82,119.61,502
1990,W-3,1696.8,1840.5,1840.5,1864.2,1885.8,2023.8,2141.7,2212.2,2282.1,2350.2,2423.4,2517.6,2608.8,2608.8,2700.3,,,,,,,,2199.78,119.61,503
1990,W-4,1866.9,2002.8,2002.8,2048.7,2141.7,2236.2,2330.1,2493,2608.8,2700.3,2772.6,2862.3,2958,2958,3188.1,,,,,,,,2478.02,119.61,504
